vb,uii,hei_name,form,discipline,,deg_title1,prog_name1,major_title1,major_name1,deg_title2,prog_name2,major_title2,major_name2,ladderized,straight,eteeap,coe-cod,prog_level,authority_category,authority_serial,prog_status_yr,thesis,prog_status,prog_cal_mode,prog_length,prog_labunits,prog_lectureunits,prog_totalunits,prog_credit,tuition_unit,prog_fee,EFM,EFF,E1M,E1F,1Total,E2M,E2F,Enroll_total,E3M,E3F,Enroll_total,E4M,E4F,Enroll_total,E5M,E5F,Enroll_total,E6M,E6F,Enroll_total,E7M,E7F,Enroll_total,EM,EF,Enroll_total,units_lec,units_lab,units_total,GM,GF,Enroll_total,updater,date_updated,remarks
2025-26,09061,Eastern Mindanao College of Technology,B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Drafting Technology,Bachelor of,Technology and Livelihood Education,Major in,Drafting Technology,,,,,,,,,50,GR,41,,1,CO,SE,4,,,0,179,280.97,50293.63,1,1,,,2,0,0,0,1,1,2,0,0,0,,,0,,,0,,,0,2,2,4,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09061,Eastern Mindanao College of Technology,B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Electrical Technology,Bachelor of,Technology and Livelihood Education,Major in,Electrical Technology,,,,,,,,,50,GR,22,,1,CO,SE,4,,,0,182,280.97,51136.54,3,0,,,3,1,0,1,5,0,5,4,0,4,,,0,,,0,,,0,13,0,13,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09061,Eastern Mindanao College of Technology,B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Food Service Management,Bachelor of,Technology and Livelihood Education,Major in,Food Service Management,,,,,,,,,50,GR,46,,1,CO,SE,4,,,0,179,280.97,50293.63,9,18,,,27,1,4,5,3,4,7,0,2,2,,,0,,,0,,,0,13,28,41,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09061,Eastern Mindanao College of Technology,B,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Science in Social Work  ,Bachelor of Science in,Social Work,,,,,,,,,,,50,GR,16,,1,CO,SE,4,,,0,158,280.97,44393.26,19,84,,,103,0,19,19,5,13,18,6,22,28,,,0,,,0,,,0,30,138,168,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09061,Eastern Mindanao College of Technology,B,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology  ,Bachelor of Science in,Criminology,,,,,,,,,,,50,GP,,,1,CO,SE,4,,,0,,280.97,0,59,17,,,76,29,5,34,,,0,,,0,,,0,,,0,,,0,88,22,110,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09061,Eastern Mindanao College of Technology,B,IT-RELATED DISCIPLINES,Bachelor of Science in Information Technology  ,Bachelor of Science in,Information Technology,,,,,,,,,,,50,GR,12,,1,CO,SE,4,,,0,164,280.97,46079.08,16,22,,,38,10,3,13,6,4,10,14,15,29,,,0,,,0,,,0,46,44,90,,,0,,,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09049,"Ebenezer Bible College and Seminary, Inc.",B,RELIGION AND THEOLOGY,Bachelor of Arts in Theology  ,Bachelor of Arts in,Theology,,,,,,,,,,,50,GR,2,,2,CO,SE,4,,,0,182,243.47,44311.54,8,10,7,1,26,16,6,22,9,5,14,13,4,17,,,0,,,0,,,0,53,26,79,,,0,9,6,15,Kim Dioven Lusaya,17-Nov-2025,
2025-26,09049,"Ebenezer Bible College and Seminary, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Early Childhood Education  ,Bachelor of,Early Childhood Education,,,,,,,,,,,50,GR,45,,2,CO,SE,4,,,0,180,243.47,43824.6,2,5,0,1,8,0,3,3,0,3,3,0,5,5,,,0,,,0,,,0,2,17,19,,,0,0,0,0,Kim Dioven Lusaya,17-Nov-2025,
2025-26,09102,"Emmaus College of Theology Foundation, Inc.",B,HUMANITIES,Bachelor of Arts in Theology  ,Bachelor of Arts in,Theology,,,,,,,,,,,50,GR,7,,1,co,SE,4,,,0,,,500,2,12,,,14,9,11,20,3,3,6,6,8,14,,,0,,,0,,,0,20,34,54,,,0,0,9,9,Kim Dioven Lusaya,12-Nov-2025,
2025-26,09100,"Ferndale College - Zamboanga Peninsula, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Early Childhood Education Major in General Teacher Training,Bachelor of,Early Childhood Education,Major in,General Teacher Training,,,,,,,,,50,GR,38,,1,CO,SE,4,,,0,164,,0,1,8,1,8,18,1,6,7,5,7,12,3,13,16,,,0,,,0,,,0,11,42,53,,,0,1,5,6,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09100,"Ferndale College - Zamboanga Peninsula, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in General Teacher Training,Bachelor of,Technology and Livelihood Education,Major in,General Teacher Training,,,,,,,,,50,GR,39,,1,CO,SE,4,,,0,176,,0,2,1,2,1,6,1,3,4,1,0,1,4,24,28,,,0,,,0,,,0,10,29,39,,,0,1,1,2,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09100,"Ferndale College - Zamboanga Peninsula, Inc.",B,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology  ,Bachelor of Science in,Criminology,,,,,,,,,,,50,GR,6,,1,CO,SE,4,,,0,192,,0,14,7,14,7,42,15,6,21,15,5,20,74,39,113,,,0,,,0,,,0,132,64,196,,,0,2,2,4,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09100,"Ferndale College - Zamboanga Peninsula, Inc.",B,FINE AND APPLIED ARTS,Bachelor of Multimedia Arts  ,Bachelor of,Multimedia Arts,,,,,,,,,,,50,GR,1,,1,CO,SE,4,,,0,151,,0,3,2,3,2,10,3,2,5,2,4,6,2,1,3,,,0,,,0,,,0,13,11,24,,,0,1,0,1,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09106,"Helping Hands College and Wellness Center, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Home Economics,Bachelor of,Technology and Livelihood Education,Major in,Home Economics,,,,,,,,,50,GR,10,,1,CO,SE,4,,,0,194,300,0,,,6,4,10,7,11,18,,,0,,,0,,,0,,,0,,,0,13,15,28,,,0,0,0,0,Kim Dioven Lusaya,14-Nov-2025,
2025-26,09106,"Helping Hands College and Wellness Center, Inc.",B,IT-RELATED DISCIPLINES,Associate in Computer Technology Major in Networking,Associate in,Computer Technology,Major in,Networking,,,,,,,,,40,GR,5,,2,CO,SE,4,,,0,110,300,0,,,94,150,244,2,11,13,,,0,,,0,,,0,,,0,,,0,96,161,257,,,0,1,4,5,Kim Dioven Lusaya,14-Nov-2025,
2025-26,09106,"Helping Hands College and Wellness Center, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Real Estate Management  ,Bachelor of Science in,Real Estate Management,,,,,,,,,,,50,GR,28,,1,CO,SE,4,,,0,181,300,0,,,5,2,7,23,12,35,,,0,,,0,,,0,,,0,,,0,28,14,42,,,0,0,0,0,Kim Dioven Lusaya,14-Nov-2025,
2025-26,09106,"Helping Hands College and Wellness Center, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Culture and Arts Education  ,Bachelor of,Culture and Arts Education,,,,,,,,,,,50,GR,8,,1,CO,SE,4,,,0,204,300,0,,,8,1,9,6,6,12,,,0,,,0,,,0,,,0,,,0,14,7,21,,,0,0,0,0,Kim Dioven Lusaya,14-Nov-2025,
2025-26,09106,"Helping Hands College and Wellness Center, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Early Childhood Education  ,Bachelor of,Early Childhood Education,,,,,,,,,,,50,GR,9,,1,CO,SE,4,,,0,198,300,0,,,2,4,6,2,4,6,,,0,,,0,,,0,,,0,,,0,4,8,12,,,0,0,0,0,Kim Dioven Lusaya,14-Nov-2025,
2025-26,09059,"HMIJ Foundation - Philippine Islamic College, Inc.",B,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology Major in Criminal Justice,Bachelor of Science in,Criminology,Major in,Criminal Justice,,,,,,,,,50,GR,18,,2,CO,,,,,0,189,,0,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09059,"HMIJ Foundation - Philippine Islamic College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Elementary Education Major in General Education,Bachelor of,Elementary Education,Major in,General Education,,,,,,,,,50,GR,21,,2,CO,,,,,0,,212.12,0,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09059,"HMIJ Foundation - Philippine Islamic College, Inc.",B,IT-RELATED DISCIPLINES,Bachelor of Science in Computer Science  ,Bachelor of Science in,Computer Science,,,,,,,,,,,50,GR,6,,2,CO,,,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09079,"Hyrons College Philippines, Inc.",B,IT-RELATED DISCIPLINES,Bachelor of Science in Information Technology  ,Bachelor of Science in,Information Technology,,,,,,,,,,,50,GR,5,,1,CO,SE,4,,,0,164,106,67800,10,3,0,0,13,7,3,10,13,15,28,11,10,21,,,0,,,0,,,0,41,31,72,,,0,6,11,17,Kim Dioven Lusaya,04-Dec-2025,
2025-26,09079,"Hyrons College Philippines, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Elementary Education  ,Bachelor of,Elementary Education,,,,,,,,,,,50,GR,9,,1,CO,SE,4,,,0,170,106,67000,0,2,0,0,2,2,4,6,6,21,27,7,15,22,,,0,,,0,,,0,15,42,57,,,0,4,9,13,Kim Dioven Lusaya,04-Dec-2025,
2025-26,09079,"Hyrons College Philippines, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education  ,Bachelor of,Technology and Livelihood Education,,,,,,,,,,,50,GR,17,,1,CO,SE,4,,,0,187,106,67000,1,5,0,0,6,2,4,6,10,13,23,3,11,14,,,0,,,0,,,0,16,33,49,,,0,6,8,14,Kim Dioven Lusaya,04-Dec-2025,
2025-26,09009,Immaculate Conception Archdiocesan School,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Financial Management,Bachelor of Science in,Business Administration,Major in,Financial Management,,,,,,,,,50,GR,16,,2,CO,SE,4,,,0,146,423.15,115997,0,1,0,0,1,4,0,4,0,0,0,0,0,0,,,0,,,0,,,0,4,1,5,,,0,0,2,2,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09009,Immaculate Conception Archdiocesan School,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Human Resouirce Management,Bachelor of Science in,Business Administration,Major in,Human Resouirce Management,,,,,,,,,50,GR,16,,2,CO,SE,4,,,0,146,423.15,115997,0,0,0,0,0,0,0,0,0,0,0,1,2,3,,,0,,,0,,,0,1,2,3,,,0,1,0,1,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09009,Immaculate Conception Archdiocesan School,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Marketing Management,Bachelor of Science in,Business Administration,Major in,Marketing Management,,,,,,,,,50,GR,16,,2,CO,SE,4,,,0,146,423.15,115997,3,0,0,0,3,3,3,6,3,3,6,0,0,0,,,0,,,0,,,0,9,6,15,,,0,1,0,1,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09009,Immaculate Conception Archdiocesan School,B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Hospitality Management  ,Bachelor of Science in,Hospitality Management,,,,,,,,,,,50,GR,1,,2,CO,SE,2,,,0,92,423.15,104403,0,1,0,0,1,2,11,13,0,5,5,3,2,5,,,0,,,0,,,0,5,19,24,,,0,2,1,3,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09009,Immaculate Conception Archdiocesan School,B,HUMANITIES,Bachelor of Arts in Philosophy  ,Bachelor of Arts in,Philosophy,,,,,,,,,,,50,GR,2,,1,CO,SE,4,,,0,152,423.15,118536,8,1,0,0,9,2,0,2,7,1,8,2,0,2,,,0,,,0,,,0,19,2,21,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,"AGRICULTURE, FORESTRY, FISHERIES",Master of Science in Agriculture Major in Agronomy,Master of Science in,Agriculture,Major in,Agronomy,,,,,,,,,80,BR,33,,1,1,1,2,0,36,36,,500,31120,,,1,2,3,1,2,3,,,0,,,0,,,0,,,0,,,0,2,4,6,33,0,33,0,1,1,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,"AGRICULTURE, FORESTRY, FISHERIES",Master of Science in Agriculture Major in Animal Science,Master of Science in,Agriculture,Major in,Animal Science,,,,,,,,,80,BR,33,,1,1,1,2,0,36,36,,500,31120,,,1,0,1,1,0,1,,,0,,,0,,,0,,,0,,,0,2,0,2,15,0,15,0,0,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,LAW AND JURISPRUDENCE,Master of Science in Criminal Justice Major in Criminology,Master of Science in,Criminal Justice,Major in,Criminology,,,,,,,,,80,BR,25,,1,1,1,2,0,42,42,,500,34120,20,19,20,19,78,6,5,11,,,0,,,0,,,0,,,0,,,0,46,43,89,753,0,753,4,10,14,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Early Childhood Education,Master of Arts in,Education,Major in,Early Childhood Education,,,,,,,,,80,BR,35,,1,1,1,2,0,45,45,,500,35620,,,0,2,2,0,0,0,,,0,,,0,,,0,,,0,,,0,0,2,2,18,0,18,0,2,2,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Educational Management,Master of Arts in,Education,Major in,Educational Management,,,,,,,,,80,BR,33,,1,1,1,2,0,36,36,,500,31120,1,6,0,6,13,4,8,12,,,0,,,0,,,0,,,0,,,0,5,20,25,147,0,147,3,0,3,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in English,Bachelor of,Secondary Education,Major in,English,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,,,10,45,2,1,58,11,29,40,11,59,70,7,26,33,,,0,,,0,,,0,41,160,201,"5,075",0,"5,075",17,74,91,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Filipino,Bachelor of,Secondary Education,Major in,Filipino,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,116.28,,6,17,0,1,24,5,17,22,10,32,42,8,18,26,,,0,,,0,,,0,29,85,114,"2,551",0,"2,551",10,34,44,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Financial Management,Bachelor of Science in,Business Administration,Major in,Financial Management,,,,,,,,,50,BR,124,,1,1,1,4,0,134,134,,149.25,,23,75,2,0,100,56,84,140,72,89,161,28,82,110,,,0,,,0,,,0,181,330,511,"9,422",0,"9,422",51,156,207,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Master of Business Administration Major in Hotel and Restaurant Management,Master of,Business Administration,Major in,Hotel and Restaurant Management,,,,,,,,,80,BR,51,,1,1,1,2,0,36,36,,500,31120,0,1,0,0,1,1,2,3,,,0,,,0,,,0,,,0,,,0,1,3,4,12,0,12,0,1,1,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Marketing Management,Bachelor of Science in,Business Administration,Major in,Marketing Management,,,,,,,,,50,BR,124,,1,1,1,4,0,134,134,,149.25,,28,68,2,0,98,53,60,113,54,99,153,24,71,95,,,0,,,0,,,0,161,298,459,"8,905",0,"8,905",48,90,138,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Mathematics,Bachelor of,Secondary Education,Major in,Mathematics,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,,,12,19,3,3,37,8,16,24,9,20,29,8,11,19,,,0,,,0,,,0,40,69,109,"2,492",0,"2,492",10,13,23,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Doctor of Public Administration Major in Public Administration,Doctor of,Public Administration,Major in,Public Administration,,,,,,,,,90,BR,33,,1,1,1,2,0,60,60,,700,63180,1,0,1,2,4,0,0,0,,,0,,,0,,,0,,,0,,,0,2,2,4,33,0,33,0,0,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Science,Bachelor of,Secondary Education,Major in,Science,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,111.11,,11,27,0,6,44,5,24,29,10,42,52,6,13,19,,,0,,,0,,,0,32,112,144,"3,247",274,"3,521",14,31,45,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Social Studies,Bachelor of,Secondary Education,Major in,Social Studies,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,118.34,,5,9,1,1,16,6,7,13,8,19,27,6,5,11,,,0,,,0,,,0,26,41,67,"1,563",0,"1,563",10,28,38,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Education Major in Special Education,Master of Arts in,Education,Major in,Special Education,,,,,,,,,80,BR,33,,1,1,1,2,0,45,45,,500,35620,,,0,4,4,0,1,1,,,0,,,0,,,0,,,0,,,0,0,5,5,48,0,48,0,6,6,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,ENGINEERING AND TECH,Bachelor of Science in Civil Engineering Major in Structural Engineering,Bachelor of Science in,Civil Engineering,Major in,Structural Engineering,,,,,,,,,50,BR,66,,1,1,1,4,28,169,197,,114.21,,95,96,1,1,193,29,21,50,67,64,131,41,46,87,,,0,,,0,,,0,233,228,461,"10,093",852,"10,945",54,63,117,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology  ,Bachelor of Science in,Criminology,,,,,,,,,,,50,BR,,,1,1,1,4,9,179,188,,106.38,,108,63,7,5,183,64,32,96,79,50,129,74,64,138,,,0,,,0,,,0,332,214,546,"12,426",430,"12,856",102,115,217,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,MEDICAL AND ALLIED,Bachelor of Science in Nursing  ,Bachelor of Science in,Nursing,,,,,,,,,,,50,BR,,,1,1,1,4,0,0,0,,100.5,,42,113,3,11,169,26,88,114,23,56,79,18,65,83,,,0,,,0,,,0,112,333,445,"8,311","2,954","11,265",29,132,161,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Hospitality Management  ,Bachelor of Science in,Hospitality Management,,,,,,,,,,,50,BR,124,,1,1,1,4,24,121,145,,137.93,,44,106,6,1,157,55,71,126,36,39,75,29,42,71,,,0,,,0,,,0,170,259,429,"8,315",902,"9,217",36,62,98,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Tourism Management  ,Bachelor of Science in,Tourism Management,,,,,,,,,,,50,BR,124,,1,1,1,4,18,128,146,,171.23,,23,117,1,6,147,17,76,93,10,52,62,17,74,91,,,0,,,0,,,0,68,325,393,"7,228",601,"7,829",12,89,101,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,NATURAL SCIENCE,Bachelor of Science in Marine Biology  ,Bachelor of Science in,Marine Biology,,,,,,,,,,,50,BR,124,,1,1,1,4,39,125,164,,137.19,,63,28,2,1,94,32,36,68,59,52,111,76,38,114,,,0,,,0,,,0,232,155,387,"6,312","1,836","8,148",14,8,22,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,IT-RELATED DISCIPLINES,Bachelor of Science in Information System  ,Bachelor of Science in,Information System,,,,,,,,,,,50,BR,66,,1,1,1,4,24,131,155,,145.16,,64,46,3,2,115,56,43,99,38,34,72,56,18,74,,,0,,,0,,,0,217,143,360,"5,884","1,141","7,025",37,16,53,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,IT-RELATED DISCIPLINES,Bachelor of Science in Computer Science  ,Bachelor of Science in,Computer Science,,,,,,,,,,,50,BR,66,,1,1,1,4,21,137,158,,142.41,,64,27,26,9,126,51,31,82,48,18,66,43,40,83,,,0,,,0,,,0,232,125,357,"6,691","1,062","7,753",39,27,66,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Management Accounting  ,Bachelor of Science in,Management Accounting,,,,,,,,,,,50,BR,124,,1,1,1,4,3,176,179,,111.73,,9,30,2,2,43,6,50,56,13,97,110,14,63,77,,,0,,,0,,,0,44,242,286,"6,449",68,"6,517",7,54,61,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Accountancy  ,Bachelor of Science in,Accountancy,,,,,,,,,,,50,BR,124,,1,1,1,4,2,201,203,,135.47,,40,107,1,0,148,11,50,61,5,36,41,6,21,27,,,0,,,0,,,0,63,214,277,"6,829",0,"6,829",5,15,20,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Arts in Political Science  ,Bachelor of Arts in,Political Science,,,,,,,,,,,50,BR,124,,1,1,1,4,0,113,113,,176.99,88680,28,60,7,0,95,18,28,46,23,49,72,28,33,61,,,0,,,0,,,0,104,170,274,"4,348",0,"4,348",26,34,60,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,MARITIME,Bachelor of Science in Marine Transportation  ,Bachelor of Science in,Marine Transportation,,,,,,,,,,,50,GP,,,1,1,1,4,66,100,166,,288,114536,61,11,2,1,75,65,8,73,64,5,69,36,3,39,,,0,,,0,,,0,228,28,256,"6,656",834,"7,490",45,2,47,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,MARITIME,Bachelor of Science in Marine Engineering  ,Bachelor of Science in,Marine Engineering,,,,,,,,,,,50,GP,,,1,1,1,4,76,107,183,,288,122024,72,2,4,0,78,59,3,62,65,4,69,36,1,37,,,0,,,0,,,0,236,10,246,"2,867","3,630","6,497",23,0,23,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,ENGINEERING AND TECH,Bachelor of Science in Electrical Engineering  ,Bachelor of Science in,Electrical Engineering,,,,,,,,,,,50,BR,66,,1,1,1,4,27,166,193,,116.58,,70,15,7,3,95,31,10,41,46,10,56,33,11,44,,,0,,,0,,,0,187,49,236,"4,984",491,"5,475",27,3,30,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Accounting Information System  ,Bachelor of Science in,Accounting Information System,,,,,,,,,,,50,BR,124,,1,1,1,4,8,171,179,,111.73,,24,64,4,2,94,11,36,47,16,48,64,6,11,17,,,0,,,0,,,0,61,161,222,"5,543",263,"5,806",10,60,70,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,ENGINEERING AND TECH,Bachelor of Science in Computer Engineering  ,Bachelor of Science in,Computer Engineering,,,,,,,,,,,50,BR,66,,1,1,1,4,29,150,179,,,,56,35,2,1,94,13,12,25,21,23,44,30,14,44,,,0,,,0,,,0,122,85,207,"4,221",818,"5,039",7,4,11,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,LAW AND JURISPRUDENCE,Juris Doctor  ,,Juris Doctor,,,,,,,,,,,50,BR,39,,1,1,1,4,0,152,152,,300,74080,30,33,0,1,64,14,26,40,18,29,47,20,24,44,,,0,,,0,,,0,82,113,195,"3,112",0,"3,112",5,17,22,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,HUMANITIES,Bachelor of Arts in English Language Studies  ,Bachelor of Arts in,English Language Studies,,,,,,,,,,,50,BR,124,,1,1,1,4,0,143,143,,139.86,88680,11,33,1,0,45,15,28,43,17,52,69,5,17,22,,,0,,,0,,,0,49,130,179,"3,503",0,"3,503",4,13,17,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Entrepreneurship  ,Bachelor of Science in,Entrepreneurship,,,,,,,,,,,50,BR,124,,1,1,1,4,0,141,141,,141.84,,24,20,4,0,48,17,28,45,33,33,66,4,15,19,,,0,,,0,,,0,82,96,178,"3,600",97,"3,697",4,5,9,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Internal Auditing  ,Bachelor of Science in,Internal Auditing,,,,,,,,,,,50,BR,124,,1,1,1,4,3,176,179,,111.73,,11,37,1,0,49,12,28,40,23,42,65,2,15,17,,,0,,,0,,,0,49,122,171,"4,355",18,"4,373",8,38,46,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,MEDICAL AND ALLIED,Bachelor of Science in Midwifery  ,Bachelor of Science in,Midwifery,,,,,,,,,,,50,BR,123,,1,1,1,4,0,0,0,,114.29,,3,67,0,16,86,4,35,39,4,36,40,0,0,0,,,0,,,0,,,0,11,154,165,"3,042",595,"3,637",0,0,0,Kim Dioven Lusaya,03-Dec-2025,
2025-26,09048,Jose Rizal Memorial State University - Main,BC,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Physical Education  ,Bachelor of,Physical Education,,,,,,,,,,,50,BR,110,,1,1,1,4,0,0,0,,118.34,,10,20,2,1,33,6,27,33,11,25,36,7,11,18,,,0,,,0,,,0,36,84,120,"2,825",0,"2,825",15,47,62,Kim Dioven Lusaya,03-Dec-2025,
